Wavelength,QE183,dQE,QE294
656,0.664944,0.03,0.7657200000000001
658,0.6625920000000001,0.03,0.7599600000000001
660,0.66024,0.03,0.7542
662,0.657888,0.03,0.74844
664,0.655536,0.03,0.74268
666,0.653184,0.03,0.73692
668,0.650832,0.03,0.73116
670,0.6484800000000001,0.03,0.7254
672,0.646128,0.03,0.7196400000000001
674,0.643776,0.03,0.7138800000000001
676,0.641424,0.03,0.7081200000000001
678,0.639072,0.03,0.70236
680,0.63672,0.03,0.6966
682,0.634368,0.03,0.69084
684,0.632016,0.03,0.68508
686,0.629664,0.03,0.67932
688,0.627312,0.03,0.67356
690,0.62496,0.03,0.6678000000000001
692,0.6226079999999999,0.03,0.66204
694,0.6202559999999999,0.03,0.65628
696,0.617904,0.03,0.65052
698,0.615552,0.03,0.64476
700,0.6132,0.03,0.639
702,0.6084959999999999,0.03,0.63504
704,0.603792,0.03,0.63108
706,0.599088,0.03,0.62712
708,0.5943839999999999,0.03,0.62316
710,0.58968,0.03,0.6192
712,0.5849759999999999,0.03,0.61524
714,0.5802719999999999,0.03,0.61128
716,0.575568,0.03,0.60732
718,0.5708639999999999,0.03,0.60336
720,0.56616,0.03,0.5994
722,0.561456,0.03,0.59544
724,0.5567519999999999,0.03,0.59148
726,0.552048,0.03,0.58752
728,0.5473439999999999,0.03,0.5835600000000001
730,0.5426399999999999,0.03,0.5796
732,0.537936,0.03,0.57564
734,0.5332319999999999,0.03,0.57168
736,0.5285279999999999,0.03,0.56772
738,0.523824,0.03,0.56376
740,0.5191199999999999,0.03,0.5598000000000001
742,0.514416,0.03,0.55584
744,0.5097119999999999,0.03,0.55188
746,0.5050079999999999,0.03,0.5479200000000001
748,0.500304,0.03,0.54396
750,0.4955999999999999,0.03,0.54
752,0.4908959999999999,0.03,0.5360400000000001
754,0.4861919999999999,0.03,0.53208
756,0.4814879999999999,0.03,0.52812
758,0.4767839999999999,0.03,0.5241600000000001
760,0.4720799999999999,0.03,0.5202
762,0.4673759999999999,0.03,0.51624
764,0.4626719999999999,0.03,0.5122800000000001
766,0.4579679999999999,0.03,0.50832
768,0.4532639999999999,0.03,0.50436
770,0.4485599999999999,0.03,0.5004000000000001
772,0.443856,0.03,0.49644
774,0.439152,0.03,0.49248000000000003
776,0.4344479999999999,0.03,0.48852
778,0.4297439999999999,0.03,0.48456
780,0.42504,0.03,0.4806
782,0.420336,0.03,0.47664
784,0.415632,0.03,0.47268
786,0.4109279999999999,0.03,0.46872
788,0.406224,0.03,0.46476
