,Wavelength,QE,dQE
183,702,0.5758995576378657,0.05
184,704,0.5719428548633252,0.05
185,706,0.5680363732698519,0.05
186,708,0.5640865944509191,0.05
187,710,0.56,0.05
188,712,0.5557291383182708,0.05
189,714,0.5514108250377172,0.05
190,716,0.5472279425980283,0.05
191,718,0.5433633734388931,0.05
192,720,0.54,0.05
193,722,0.5372638890890518,0.05
194,724,0.5350538449858062,0.05
195,726,0.5332118563380346,0.05
196,728,0.5315799117935088,0.05
197,730,0.53,0.05
198,732,0.5283353053255223,0.05
199,734,0.5265337950190584,0.05
200,736,0.5245646320498333,0.05
201,738,0.5223969793870722,0.05
202,740,0.52,0.05
203,742,0.5173148896088592,0.05
204,744,0.5141709749379604,0.05
205,746,0.5103696154626322,0.05
206,748,0.5057121706582026,0.05
207,750,0.5,0.05
208,752,0.4931251362390414,0.05
209,754,0.4853423052291,0.05
210,756,0.4769969060996379,0.05
211,758,0.4684343379801172,0.05
212,760,0.46,0.05
213,762,0.4519445654349753,0.05
214,764,0.4441398041456396,0.05
215,766,0.4363627601388162,0.05
216,768,0.4283904774213286,0.05
217,770,0.42,0.05
218,772,0.4110966020210573,0.05
219,774,0.4020984781883416,0.05
220,776,0.3935520533450971,0.05
221,778,0.3860037523345684,0.05
222,780,0.38,0.05
223,782,0.3759090264807954,0.05
224,784,0.3733862831009941,0.05
225,786,0.3719090264807953,0.05
226,788,0.3709545132403976,0.05
227,790,0.37,0.05
228,792,0.3686272920557614,0.05
229,794,0.3668363894076818,0.05
230,796,0.3647318407317216,0.05
231,798,0.3624181947038409,0.05
232,800,0.36,0.05
233,802,0.36,0.05
234,804,0.36,0.05
235,806,0.36,0.05
236,808,0.36,0.05
237,810,0.36,0.05
238,812,0.36,0.05
239,814,0.36,0.05
240,816,0.36,0.05
241,818,0.36,0.05
242,820,0.36,0.05
243,822,0.36,0.05
244,824,0.36,0.05
245,826,0.36,0.05
246,828,0.36,0.05
247,830,0.36,0.05
248,832,0.36,0.05
249,834,0.36,0.05
250,836,0.36,0.05
251,838,0.36,0.05
